created_at,lat,lon,trap_id,males,females,note,trap_visit_date
2019-07-03 10:21:26.910000+10:00,13.41389,144.738947,1,3,4,1 live male specimen,2019-07-03
2019-07-03 10:24:58.290000+10:00,13.413877,144.738964,2,2,6,All dead,2019-07-03
2019-07-03 10:31:37.096000+10:00,13.412856,144.739523,3,2,3,Deceased,2019-07-03
2019-07-03 10:35:42.392000+10:00,13.412904,144.739554,4,3,1,1 live male,2019-07-03
2019-07-03 10:37:08.097000+10:00,13.412532,144.739769,5,1,3,Deceased,2019-07-03
2019-07-03 10:38:31.812000+10:00,13.412215,144.740315,6,1,3,Live male,2019-07-03
2019-07-03 10:39:42.638000+10:00,13.4115,144.741007,7,1,0,Dead,2019-07-03
2019-07-03 10:41:10.385000+10:00,13.411271,144.741542,8,3,1,Deceased,2019-07-03
2019-07-03 10:50:12.810000+10:00,13.409104,144.739799,9,0,3,Dead,2019-07-03
2019-07-03 10:52:46.118000+10:00,13.40912,144.73982,10,0,1,Deceased,2019-07-03
2019-07-03 10:53:34.892000+10:00,13.4083,144.740268,11,0,0,,2019-07-03
2019-07-03 10:55:22.919000+10:00,13.407745,144.740356,12,1,0,,2019-07-03
2019-07-03 10:56:23.514000+10:00,13.407408,144.739873,13,0,0,,2019-07-03
2019-07-03 10:57:38.536000+10:00,13.407097,144.740455,14,0,0,,2019-07-03
2019-07-03 10:59:22.981000+10:00,13.406512,144.740702,15,0,3,Deceased,2019-07-03
2019-07-03 11:01:18.777000+10:00,13.406011,144.740701,16,0,2,Deceased,2019-07-03
2019-07-03 11:03:34.762000+10:00,13.405342,144.740576,17,1,0,Deceased,2019-07-03
2019-07-03 11:05:31.540000+10:00,13.40461,144.740891,18,0,1,Deceased,2019-07-03
2019-07-03 11:23:23.378000+10:00,13.413728,144.732649,19,3,2,1 live male,2019-07-03
2019-07-03 11:26:22.605000+10:00,13.413218,144.732905,20,2,2,1 live female,2019-07-03
2019-07-03 11:29:13.627000+10:00,13.412624,144.732955,21,0,0,,2019-07-03
2019-07-03 11:30:46.565000+10:00,13.412099,144.732985,22,2,1,1 live male,2019-07-03
2019-07-03 11:32:13.222000+10:00,13.411534,144.733272,23,0,3,Deceased,2019-07-03
2019-07-03 11:33:44.102000+10:00,13.411061,144.733294,24,1,2,1 live female,2019-07-03
2019-07-10 10:18:47.517000+10:00,13.413843,144.738907,1,3,7,,2019-07-10
2019-07-10 10:20:09.650000+10:00,13.413862,144.738955,2,2,0,,2019-07-10
2019-07-10 10:22:10.036000+10:00,13.4128,144.739545,3,2,0,,2019-07-10
2019-07-10 10:22:41.441000+10:00,13.412707,144.739577,4,3,1,,2019-07-10
2019-07-10 10:24:17.439000+10:00,13.412294,144.740287,5,2,2,,2019-07-10
