trap_id,lat,lon
1,13.413849,144.738916
2,13.413491,144.739389
3,13.412836,144.73953
4,13.412941,144.739516
5,13.412586,144.739778
6,13.412275,144.740272
7,13.411716,144.740738
8,13.411295,144.74154
9,13.411272,144.741552
10,13.409121,144.73984
11,13.408254,144.740236
12,13.407853,144.740262
13,13.40772,144.740396
14,13.407385,144.739851
15,13.406664,144.740685
16,13.40657,144.740725
17,13.405227,144.740648
18,13.404999,144.740823
19,13.414532,144.732991
20,13.414114,144.733256
21,13.413599,144.73344
22,13.41304,144.733597
23,13.412662,144.733913
24,13.412286,144.734439
25,13.411633,144.734562
26,13.411247,144.735068
27,13.410928,144.735551
28,13.410657,144.736079
29,13.410537,144.736671
30,13.411052,144.737128
31,13.415504,144.742477
32,13.416187,144.742108
33,13.416764,144.742723
34,13.417076,144.742909
35,13.417596,144.743206
36,13.417613,144.743239
37,13.417878,144.744306
38,13.4178,144.744321
39,13.417246,144.745424
40,13.417007,144.745795
