ec5_uuid,created_at,uploaded_at,title,lat_1_GPS,long_1_GPS,accuracy_1_GPS,UTM_Northing_1_GPS,UTM_Easting_1_GPS,UTM_Zone_1_GPS,2_Panel_trap_number,3_Males_Trapped,4_Females_trapped,5_Note
36bb25e3-249a-4b54-923f-3f385635a5a6,2020-03-13T07:26:04.606Z,2020-03-13T07:28:12.000Z,36bb25e3-249a-4b54-923f-3f385635a5a6,,,,,,,"040 3/6/20",1,0,"Chemtica Lure"
cbab8ab4-a32a-4362-a365-6470f5029eb3,2020-03-13T07:25:40.486Z,2020-03-13T07:28:11.000Z,cbab8ab4-a32a-4362-a365-6470f5029eb3,,,,,,,"039 3/6/20",3,2,"Chemtica Lure"
58c66f3f-bb56-4d99-8e55-50c0b8b540a4,2020-03-13T07:25:07.652Z,2020-03-13T07:28:09.000Z,58c66f3f-bb56-4d99-8e55-50c0b8b540a4,,,,,,,"038 3/6/20",0,3,"Chemtica Lure"
bc19736b-20ed-487d-a8da-4348229eb106,2020-03-13T07:24:36.340Z,2020-03-13T07:28:07.000Z,bc19736b-20ed-487d-a8da-4348229eb106,,,,,,,"037 3/6/20",3,3,"Chemtica Lure"
2b4f2c4d-621a-4627-9147-3e0be4c77ba6,2020-03-13T07:23:47.358Z,2020-03-13T07:28:06.000Z,2b4f2c4d-621a-4627-9147-3e0be4c77ba6,,,,,,,"036 3/6/20",1,4,"Chemtica Lure"
bec51cbd-8bd2-40e7-a2ba-fe63ef280d7d,2020-03-13T07:23:20.479Z,2020-03-13T07:28:04.000Z,bec51cbd-8bd2-40e7-a2ba-fe63ef280d7d,,,,,,,"035 3/6/20",1,4,"Chemtica Lure"
0bbddceb-e3aa-4786-bfbe-1f83bd5ad502,2020-03-13T07:22:32.979Z,2020-03-13T07:28:01.000Z,0bbddceb-e3aa-4786-bfbe-1f83bd5ad502,,,,,,,"034 3/6/20",4,3,"Chemtica Lure"
74fffe60-d666-4439-b619-f7c6e81d9b72,2020-03-13T07:21:56.157Z,2020-03-13T07:28:03.000Z,74fffe60-d666-4439-b619-f7c6e81d9b72,,,,,,,"033 3/06/20",0,0,"Chemtica Lure"
9a90e6eb-6dac-464e-80b5-955a7891c1e7,2020-03-13T07:21:24.596Z,2020-03-13T07:28:00.000Z,9a90e6eb-6dac-464e-80b5-955a7891c1e7,,,,,,,"032 3/6/20",3,3,"Chemtica Lure"
0b9a3c95-7e0a-4a26-946d-1de3a42b7135,2020-03-13T06:24:25.784Z,2020-03-13T07:27:58.000Z,0b9a3c95-7e0a-4a26-946d-1de3a42b7135,,,,,,,"031 3/6/20",4,3,"Chemtica Lure"
134fb443-3134-4c19-bee5-2d2c62f7fad4,2020-03-13T06:23:51.957Z,2020-03-13T07:27:56.000Z,134fb443-3134-4c19-bee5-2d2c62f7fad4,,,,,,,"030 3/6/20",0,0,"Chemtica Lure"
f96eaf2b-af44-4c3b-b881-5cfc9a5b86db,2020-03-13T06:23:22.168Z,2020-03-13T07:27:55.000Z,f96eaf2b-af44-4c3b-b881-5cfc9a5b86db,,,,,,,"029 3/6/20",4,3,"Chemtica Lure"
6f3efb18-caac-4f04-b4ce-7dd2b02e648f,2020-03-13T06:20:53.115Z,2020-03-13T07:27:52.000Z,6f3efb18-caac-4f04-b4ce-7dd2b02e648f,,,,,,,"028 3/6/20",1,0,"Chemtica Lure"
8a38c99d-5b12-4b65-a792-8fcfaf003fcd,2020-03-13T06:20:26.227Z,2020-03-13T07:27:53.000Z,8a38c99d-5b12-4b65-a792-8fcfaf003fcd,,,,,,,"027 3/6/20",0,0,"Chemtica Lure"
3b7817ab-5a32-45df-80ed-8e0ce87c3c16,2020-03-13T06:20:04.394Z,2020-03-13T07:27:50.000Z,3b7817ab-5a32-45df-80ed-8e0ce87c3c16,,,,,,,"026 3/6/20",0,2,"Chemtica Lure"
7752874c-4dc0-4917-956b-4cb8c4475894,2020-03-13T06:19:34.482Z,2020-03-13T07:27:48.000Z,7752874c-4dc0-4917-956b-4cb8c4475894,,,,,,,"025 3/6/20",1,1,"Chemtica Lure"
8afd560c-6210-44b5-8d1b-41617ef4f5a2,2020-03-13T06:19:08.277Z,2020-03-13T07:27:47.000Z,8afd560c-6210-44b5-8d1b-41617ef4f5a2,,,,,,,"024 3/6/20",1,3,"Chemtica Lure"
8daabffa-e0db-457f-924e-0430519d4bbc,2020-03-13T06:18:04.850Z,2020-03-13T07:27:44.000Z,8daabffa-e0db-457f-924e-0430519d4bbc,,,,,,,"023 3/6/20",2,0,"Chemtica Lure"
aa9c777d-1556-491f-a81a-c613ad984389,2020-03-13T06:17:45.703Z,2020-03-13T07:27:45.000Z,aa9c777d-1556-491f-a81a-c613ad984389,,,,,,,"022 3/6/20",5,0,"Chemtica Lure"
50f4a4dd-9670-455a-89a4-b11fc5ede555,2020-03-13T06:17:20.078Z,2020-03-13T07:27:42.000Z,50f4a4dd-9670-455a-89a4-b11fc5ede555,,,,,,,"021 3/6/20",1,3,"Chemtica Lure"
e89284b2-3d55-40ba-868b-66bad65b1f30,2020-03-13T06:16:55.889Z,2020-03-13T07:27:41.000Z,e89284b2-3d55-40ba-868b-66bad65b1f30,,,,,,,"020 3/6/20",0,2,"Chemtica Lure"
3a7d6144-f315-4293-bc4f-a186d0086b58,2020-03-13T06:15:38.938Z,2020-03-13T07:27:39.000Z,3a7d6144-f315-4293-bc4f-a186d0086b58,,,,,,,"019 3/6/20",1,3,"Chemtica Lure"
272c8dac-9785-4843-afde-c0c4dcc7fc60,2020-03-13T06:15:22.512Z,2020-03-13T07:27:37.000Z,272c8dac-9785-4843-afde-c0c4dcc7fc60,,,,,,,"018 3/6/20",4,6,"Chemtica Lure"
4332550f-ee01-48d3-a76e-8df64fad0851,2020-03-13T06:14:21.466Z,2020-03-13T07:27:36.000Z,4332550f-ee01-48d3-a76e-8df64fad0851,,,,,,,"017 3/6/20",2,1,"Chemtica Lure"
19d24e01-12cb-4b41-b8ed-5bfeea399bd5,2020-03-13T06:13:55.495Z,2020-03-13T07:27:34.000Z,19d24e01-12cb-4b41-b8ed-5bfeea399bd5,,,,,,,"016 3/6/20",2,1,"Chemtica Lure"
4a3bba15-1667-44ed-b8b0-62ac2782c883,2020-03-13T06:13:33.054Z,2020-03-13T07:27:33.000Z,4a3bba15-1667-44ed-b8b0-62ac2782c883,,,,,,,"015 3/6/20",0,1,"Chemtica Lure"
145ebb45-f324-4c24-b709-5fd410070805,2020-03-13T06:12:32.091Z,2020-03-13T07:27:31.000Z,145ebb45-f324-4c24-b709-5fd410070805,,,,,,,"012 3/6/20",4,0,"Chemtica Lure"
ffdbddb6-6a0e-4b64-85cb-552ae8f9681e,2020-03-13T06:00:52.015Z,2020-03-13T07:27:29.000Z,ffdbddb6-6a0e-4b64-85cb-552ae8f9681e,,,,,,,011,0,0,"Chemtica Lure"
af969017-e630-4fc3-91f0-fddcbaf3d43f,2020-03-13T06:00:30.450Z,2020-03-13T07:27:28.000Z,af969017-e630-4fc3-91f0-fddcbaf3d43f,,,,,,,"010 3/6/20",0,2,"Chemtica Lure"
a190b9a6-dfc0-4cf4-831e-155ebecbcdb5,2020-03-13T05:59:47.951Z,2020-03-13T07:27:26.000Z,a190b9a6-dfc0-4cf4-831e-155ebecbcdb5,,,,,,,"009 3/6/20",0,0,"Chemtica Lure"
e7410531-5a4e-4590-95d6-cb4b61e4de7f,2020-03-13T05:58:48.494Z,2020-03-13T07:27:25.000Z,e7410531-5a4e-4590-95d6-cb4b61e4de7f,,,,,,,"008 3/6/20",3,2,"Chemtica Lure"
72a7104f-a893-459d-9e98-1232ffedc330,2020-03-13T05:57:58.331Z,2020-03-13T07:27:23.000Z,72a7104f-a893-459d-9e98-1232ffedc330,,,,,,,"007 3/6/20",2,5,"Chemtica Lure"
a31e7864-a679-4030-8b77-a21bd2562b49,2020-03-13T05:56:43.303Z,2020-03-13T07:27:21.000Z,a31e7864-a679-4030-8b77-a21bd2562b49,,,,,,,"006 3/6/20",2,3,"Chemtica Lure"
a9bb7fcf-a826-481b-8c13-72b256b41275,2020-03-13T05:56:24.153Z,2020-03-13T07:27:20.000Z,a9bb7fcf-a826-481b-8c13-72b256b41275,,,,,,,"005 3/6/20",3,2,"Chemtica Lure"
6ee457f2-7154-444f-a460-54c1e94d1882,2020-03-13T05:53:55.813Z,2020-03-13T07:27:18.000Z,6ee457f2-7154-444f-a460-54c1e94d1882,,,,,,,"004 3/6/20",0,0,"Chemtica Lure"
96f89bc6-e51a-41f8-b16c-16b643d9dd3b,2020-03-13T05:53:30.409Z,2020-03-13T07:27:17.000Z,96f89bc6-e51a-41f8-b16c-16b643d9dd3b,,,,,,,"003 3/6/20",2,6,"Chemtica Lure"
98a557f2-aff8-4794-aa6c-e1685c1a0ae1,2020-03-13T05:52:59.253Z,2020-03-13T07:27:15.000Z,98a557f2-aff8-4794-aa6c-e1685c1a0ae1,,,,,,,"002 3/6/20",4,6,"Chemtica Lure"
087183fb-223f-4535-b7b6-1808a1cb2d6a,2020-03-13T05:52:17.192Z,2020-03-13T07:27:13.000Z,087183fb-223f-4535-b7b6-1808a1cb2d6a,,,,,,,"001 3/6/20",3,8,"Chemtica Lure"
9f5ca644-1453-464a-b22b-76a224b5d741,2020-03-13T05:51:48.151Z,2020-03-13T07:27:12.000Z,9f5ca644-1453-464a-b22b-76a224b5d741,,,,,,,040,0,1,"Chemtica Lure"
636163f4-0329-453f-97b7-39e6cba31d33,2020-03-13T05:51:30.516Z,2020-03-13T07:27:10.000Z,636163f4-0329-453f-97b7-39e6cba31d33,,,,,,,039,0,1,"Chemtica Lure"
28d57a54-95a2-485f-a287-5851dccad911,2020-03-13T05:51:15.202Z,2020-03-13T07:27:09.000Z,28d57a54-95a2-485f-a287-5851dccad911,,,,,,,038,0,1,"Chemtica Lure"
5a59cf87-38c2-457e-8539-0e7b5547ccd1,2020-03-13T05:50:53.934Z,2020-03-13T07:27:07.000Z,5a59cf87-38c2-457e-8539-0e7b5547ccd1,,,,,,,037,0,4,"Chemtica Lure"
c643ca85-6129-4f5e-a02d-8a1bf38b8d23,2020-03-13T05:50:29.130Z,2020-03-13T07:27:05.000Z,c643ca85-6129-4f5e-a02d-8a1bf38b8d23,,,,,,,036,2,0,"Chemtica Lure"
dcbd8821-5ef0-4fa1-802b-4cfdda7084ec,2020-03-13T05:50:11.210Z,2020-03-13T07:27:04.000Z,dcbd8821-5ef0-4fa1-802b-4cfdda7084ec,,,,,,,035,1,2,"Chemtica Lure"
c6f518a6-0c0e-4139-8616-c59d2bc0c06a,2020-03-13T05:49:50.224Z,2020-03-13T07:27:02.000Z,c6f518a6-0c0e-4139-8616-c59d2bc0c06a,,,,,,,034,1,1,"Chemtica Lure"
038973de-7048-43dd-876e-8f913b6d71b3,2020-03-13T05:49:25.920Z,2020-03-13T07:27:01.000Z,038973de-7048-43dd-876e-8f913b6d71b3,,,,,,,033,0,2,"Chemtica Lure"
e711a20f-e352-44f5-bcde-a1d90968f581,2020-03-13T05:49:07.082Z,2020-03-13T07:26:59.000Z,e711a20f-e352-44f5-bcde-a1d90968f581,,,,,,,032,0,2,"Chemtica Lure"
e5e04d41-b945-407c-9aa7-a6e712938857,2020-03-13T05:48:45.883Z,2020-03-13T07:26:57.000Z,e5e04d41-b945-407c-9aa7-a6e712938857,,,,,,,031,2,2,"Chemtica Lure"
6da9af1d-84b6-4576-94e8-43814a97bfc4,2020-03-13T05:48:13.965Z,2020-03-13T07:26:56.000Z,6da9af1d-84b6-4576-94e8-43814a97bfc4,,,,,,,030,1,0,"Chemtica Lure"
55e67ee6-6456-497b-a81d-55f29dd0ad6f,2020-03-13T05:45:03.990Z,2020-03-13T07:26:54.000Z,55e67ee6-6456-497b-a81d-55f29dd0ad6f,,,,,,,029,0,0,"Chemtica Lure"
60d4df06-9b4a-4663-bd32-6e1c10a70717,2020-03-13T05:44:44.770Z,2020-03-13T07:26:53.000Z,60d4df06-9b4a-4663-bd32-6e1c10a70717,,,,,,,028,1,0,"Chemtica Lure"
a82d7898-9ee8-47f9-805b-de785d35c10a,2020-03-13T05:44:25.858Z,2020-03-13T07:26:51.000Z,a82d7898-9ee8-47f9-805b-de785d35c10a,,,,,,,027,1,1,"Chemtica Lure"
0c8c987c-a109-410d-b89a-b03d40abf339,2020-03-13T05:42:31.334Z,2020-03-13T07:26:49.000Z,0c8c987c-a109-410d-b89a-b03d40abf339,,,,,,,026,1,0,"Chemtica Lure"
e4d5fd46-278a-4ed4-b83f-bf0e7631da82,2020-03-13T05:42:09.483Z,2020-03-13T07:26:48.000Z,e4d5fd46-278a-4ed4-b83f-bf0e7631da82,,,,,,,025,2,1,"Chemtica Lure"
42936427-2373-4cf8-9fdb-2ee50209c2d3,2020-03-13T05:38:24.640Z,2020-03-13T07:26:46.000Z,42936427-2373-4cf8-9fdb-2ee50209c2d3,,,,,,,024,2,0,"Chemtica Lure"
cfcb8cf0-bfce-43be-8bfb-e30c51b3ea27,2020-03-13T05:37:36.625Z,2020-03-13T07:26:45.000Z,cfcb8cf0-bfce-43be-8bfb-e30c51b3ea27,,,,,,,023,1,4,"Chemtica Lure"
6170ea2f-aafe-4d55-9fa7-136a7e799b97,2020-03-13T05:37:19.964Z,2020-03-13T07:26:43.000Z,6170ea2f-aafe-4d55-9fa7-136a7e799b97,,,,,,,022,0,0,"Chemtica Lure"
c584c27b-206f-4598-9326-20abc9944484,2020-03-13T05:37:04.813Z,2020-03-13T07:26:41.000Z,c584c27b-206f-4598-9326-20abc9944484,,,,,,,021,1,0,"Chemtica Lure"
400afe19-125e-4ce3-87a1-c46bfe4b1136,2020-03-13T05:36:46.831Z,2020-03-13T07:26:40.000Z,400afe19-125e-4ce3-87a1-c46bfe4b1136,,,,,,,020,0,0,"Chemtica Lure"
82afd728-c6d9-46f5-b384-f2a6a0d3b049,2020-03-13T05:36:31.150Z,2020-03-13T07:26:38.000Z,82afd728-c6d9-46f5-b384-f2a6a0d3b049,,,,,,,019,1,1,"Chemtica Lure"
feb48a37-0ea9-4bfd-bf5d-eab29e3f117b,2020-03-13T05:36:11.546Z,2020-03-13T07:26:37.000Z,feb48a37-0ea9-4bfd-bf5d-eab29e3f117b,,,,,,,018,0,2,"Chemtica Lure"
4bbdacdc-883c-445d-9bcd-9b740eaa47f8,2020-03-13T05:35:55.447Z,2020-03-13T07:26:35.000Z,4bbdacdc-883c-445d-9bcd-9b740eaa47f8,,,,,,,017,0,2,"Chemtica Lure"
d5faaeab-4c10-4b97-ac20-b230ccb904bb,2020-03-13T05:35:35.576Z,2020-03-13T07:26:33.000Z,d5faaeab-4c10-4b97-ac20-b230ccb904bb,,,,,,,016,0,0,"Chemtica Lure"
931420d7-26e7-42d5-999a-09407a13452c,2020-03-13T05:35:17.194Z,2020-03-13T07:26:32.000Z,931420d7-26e7-42d5-999a-09407a13452c,,,,,,,015,0,3,"Chemtica Lure"
8d9850ed-e062-494d-a8b3-939c19458b7a,2020-03-13T05:34:48.776Z,2020-03-13T07:26:30.000Z,8d9850ed-e062-494d-a8b3-939c19458b7a,,,,,,,014,1,0,"Chemtica Lure"
57f119b7-131f-4c0c-a216-d6b3c1b9a735,2020-03-13T05:34:32.695Z,2020-03-13T07:26:29.000Z,57f119b7-131f-4c0c-a216-d6b3c1b9a735,,,,,,,013,0,1,"Chemtica Lure"
