created_at,lat_1_GPS,long_1_GPS,2_Panel_trap_number,3_Males_Trapped,4_Females_trapped,5_Note,trap_visit_date
2019-07-03 10:21:26.910000+10:00,13.413889999999999,144.738947,001,3,4,1 live male specimen,2019-07-03
2019-07-03 10:24:58.290000+10:00,13.413877,144.73896399999998,002,2,6,All dead,2019-07-03
2019-07-03 10:31:37.096000+10:00,13.412856,144.739523,003,2,3,Deceased,2019-07-03
2019-07-03 10:35:42.392000+10:00,13.412904000000001,144.739554,004,3,1,1 live male,2019-07-03
2019-07-03 10:37:08.097000+10:00,13.412532,144.739769,005,1,3,Deceased,2019-07-03
2019-07-03 10:38:31.812000+10:00,13.412215,144.74031499999998,006,1,3,Live male,2019-07-03
2019-07-03 10:39:42.638000+10:00,13.4115,144.741007,007,1,0,Dead,2019-07-03
2019-07-03 10:41:10.385000+10:00,13.411271,144.74154199999998,008,3,1,Deceased,2019-07-03
2019-07-03 10:50:12.810000+10:00,13.409104000000001,144.739799,009,0,3,Dead,2019-07-03
2019-07-03 10:52:46.118000+10:00,13.409120000000001,144.73982,010,0,1,Deceased,2019-07-03
2019-07-03 10:53:34.892000+10:00,13.4083,144.740268,011,0,0,,2019-07-03
2019-07-03 10:55:22.919000+10:00,13.407745000000002,144.74035600000002,012,1,0,,2019-07-03
2019-07-03 10:56:23.514000+10:00,13.407407999999998,144.739873,013,0,0,,2019-07-03
2019-07-03 10:57:38.536000+10:00,13.407097,144.740455,014,0,0,,2019-07-03
2019-07-03 10:59:22.981000+10:00,13.406512,144.740702,015,0,3,Deceased,2019-07-03
2019-07-03 11:01:18.777000+10:00,13.406011,144.740701,016,0,2,Deceased,2019-07-03
2019-07-03 11:03:34.762000+10:00,13.405342000000001,144.740576,017,1,0,Deceased,2019-07-03
2019-07-03 11:05:31.540000+10:00,13.40461,144.740891,018,0,1,Deceased,2019-07-03
2019-07-03 11:23:23.378000+10:00,13.413728,144.732649,019,3,2,1 live male,2019-07-03
2019-07-03 11:26:22.605000+10:00,13.413217999999999,144.73290500000002,020,2,2,1 live female,2019-07-03
2019-07-03 11:29:13.627000+10:00,13.412624,144.732955,021,0,0,,2019-07-03
2019-07-03 11:30:46.565000+10:00,13.412099,144.732985,022,2,1,1 live male,2019-07-03
2019-07-03 11:32:13.222000+10:00,13.411534,144.733272,023,0,3,Deceased,2019-07-03
2019-07-03 11:33:44.102000+10:00,13.411060999999998,144.733294,024,1,2,1 live female,2019-07-03
2019-07-10 10:18:47.517000+10:00,13.413843,144.738907,001,3,7,,2019-07-10
2019-07-10 10:20:09.650000+10:00,13.413862,144.738955,002,2,0,,2019-07-10
2019-07-10 10:22:10.036000+10:00,13.4128,144.739545,003,2,0,,2019-07-10
2019-07-10 10:22:41.441000+10:00,13.412707000000001,144.739577,004,3,1,,2019-07-10
2019-07-10 10:24:17.439000+10:00,13.412294000000001,144.74028700000002,005,2,2,,2019-07-10
2019-07-10 10:25:16.137000+10:00,13.412285999999998,144.740265,006,2,0,,2019-07-10
2019-07-10 10:26:12.479000+10:00,13.411544000000001,144.740904,007,0,2,,2019-07-10
2019-07-10 10:27:24.875000+10:00,13.411295,144.741587,008,2,2,,2019-07-10
2019-07-10 10:36:23.801000+10:00,13.411299,144.741577,009,0,2,,2019-07-10
2019-07-10 10:37:18.060000+10:00,13.408663,144.74014499999998,010,0,0,,2019-07-10
2019-07-10 10:38:21.996000+10:00,13.408598000000001,144.74010900000002,011,0,0,,2019-07-10
2019-07-10 10:39:09.592000+10:00,13.407753,144.740395,012,0,0,,2019-07-10
2019-07-10 10:40:05.284000+10:00,13.407556,144.74026899999998,013,2,1,,2019-07-10
2019-07-10 10:41:31.581000+10:00,13.407151999999998,144.740097,014,3,1,,2019-07-10
2019-07-10 10:42:39.460000+10:00,13.406991,144.740402,015,1,1,,2019-07-10
2019-07-10 10:43:58.411000+10:00,13.406062,144.740818,016,0,1,,2019-07-10
2019-07-10 10:45:09.971000+10:00,,,017,1,0,,2019-07-10
2019-07-10 10:46:25.637000+10:00,,,018,0,1,,2019-07-10
2019-07-10 10:52:59.304000+10:00,,,024,0,3,,2019-07-10
2019-07-10 10:53:55.038000+10:00,13.411518,144.73326799999998,023,0,0,,2019-07-10
2019-07-10 10:54:59.409000+10:00,13.411672,144.73320900000002,022,0,3,,2019-07-10
2019-07-10 10:55:52.072000+10:00,13.412097,144.733026,021,1,0,,2019-07-10
2019-07-10 10:57:25.437000+10:00,13.412773000000001,144.73291799999998,020,1,2,,2019-07-10
2019-07-10 10:59:16.898000+10:00,13.413689000000002,144.73281,019,2,5,,2019-07-10
2019-07-17 09:53:53.505000+10:00,13.413848999999999,144.738916,001,2,2,,2019-07-17
2019-07-17 09:54:35.732000+10:00,13.413491,144.739389,002,0,3,,2019-07-17
2019-07-17 09:57:57.330000+10:00,13.412835999999999,144.73953,003,2,0,Changed lure,2019-07-17
2019-07-17 09:59:36.916000+10:00,13.412941,144.73951599999998,004,5,4,,2019-07-17
2019-07-17 10:01:34.073000+10:00,13.412586,144.739778,005,1,1,,2019-07-17
2019-07-17 10:03:34.879000+10:00,13.412275,144.740272,006,0,1,Changed lure,2019-07-17
2019-07-17 10:05:24.369000+10:00,13.411716,144.740738,007,2,1,,2019-07-17
2019-07-17 10:07:03.348000+10:00,13.411295,144.74154,008,3,2,,2019-07-17
2019-07-17 10:14:35.319000+10:00,13.411272,144.741552,009,1,0,,2019-07-17
2019-07-17 10:19:32.140000+10:00,13.409120999999999,144.73984,010,0,0,,2019-07-17
2019-07-17 10:20:09.215000+10:00,13.408254000000001,144.740236,011,0,0,,2019-07-17
2019-07-17 10:21:45.285000+10:00,13.407853,144.740262,012,0,0,,2019-07-17
2019-07-17 10:24:51.288000+10:00,13.407720000000001,144.740396,013,0,1,,2019-07-17
2019-07-17 10:28:15.732000+10:00,13.407385000000001,144.739851,014,0,0,,2019-07-17
2019-07-17 10:30:00.938000+10:00,13.406664000000001,144.740685,015,1,2,,2019-07-17
2019-07-17 10:32:09.535000+10:00,13.40657,144.740725,016,0,0,,2019-07-17
2019-07-17 10:34:38.266000+10:00,13.405226999999998,144.740648,017,1,2,,2019-07-17
2019-07-17 10:36:02.301000+10:00,13.404998999999998,144.740823,018,0,2,,2019-07-17
2019-07-17 10:45:29.901000+10:00,13.414532000000001,144.732991,019,1,0,,2019-07-17
2019-07-17 10:46:28.191000+10:00,13.414114000000001,144.733256,020,1,2,,2019-07-17
2019-07-17 10:48:33.216000+10:00,13.413599,144.73344,021,5,0,,2019-07-17
2019-07-17 10:49:26.239000+10:00,13.413039999999999,144.733597,022,1,0,,2019-07-17
2019-07-17 10:51:40.225000+10:00,13.412662,144.733913,023,0,1,,2019-07-17
2019-07-17 10:52:49.173000+10:00,13.412285999999998,144.73443899999998,024,2,0,,2019-07-17
2019-07-17 10:55:15.258000+10:00,13.411632999999998,144.734562,025,2,2,,2019-07-17
